node_id,label,domain,color,weight_importance,Z_ETHICS,Z_MMLU,Z_GPQA_PhD,Z_RedTeaming
24,IST + chal,MMLU,#3498db,6.809657096862793,0.0,1.898236760976458,0.0,0.4235451841591659
25,чат + 作者本人,MMLU,#3498db,6.7859673500061035,0.0,2.2016266505397373,0.0,0.6333864535618507
26,duly + ITU,MMLU,#3498db,6.751590251922607,0.0,1.1933141211961276,0.0,0.2275656238261895
27,styleType + 玩家朋友,MMLU,#3498db,6.7356038093566895,0.0,1.6989365093448288,0.0,0.2420292920797868
28,zend + ankan,MMLU,#3498db,6.714156150817871,0.0,1.3599799544013231,0.0,0.5639855286793299
29,صند + 总而言,MMLU,#3498db,6.695931911468506,0.0,5.050685452191704,0.0,0.5684508572414316
30,更多信息 + 以及其他,MMLU,#3498db,6.654502868652344,0.0,1.515268137040243,0.0,0.709735181775233
31,ahn + 而不是,MMLU,#3498db,6.6451826095581055,0.0,1.7289487057884936,0.0,1.4525315578184819
32,LogManager + clr,RedTeaming,#34495e,6.629049301147461,0.0,2.1025587676710358,0.0,6.068815810102498
33,还不如 + Reyn,MMLU,#3498db,6.603271007537842,0.0,2.3314686496398354,0.0,1.3966812502619415
34,moid + haus,MMLU,#3498db,6.584522247314453,0.0,0.6753403808217998,0.0,0.1814584322209593
35,issen + Rotterdam,RedTeaming,#34495e,6.5775346755981445,0.0,0.8959552302029308,0.0,1.0752236919237244
36,hir + 各种各样,MMLU,#3498db,6.561309337615967,0.0,2.5410907278056794,0.0,0.1809598126777949
37,请大家 + hel,MMLU,#3498db,6.535458564758301,0.0,4.991692015307533,0.0,2.8680381593201214
38,ovich + SKF,RedTeaming,#34495e,6.501552104949951,0.0,1.3524972857426054,0.0,3.3340716085626783
39,oris + Rubin,MMLU,#3498db,6.488803386688232,0.0,1.6550155095600287,0.0,1.095657637819896
40,下面是小 + 为核心的,MMLU,#3498db,6.48610258102417,0.0,1.6413456859870401,0.0,0.38844954838533374
41,Pepper + 的具体,RedTeaming,#34495e,6.474551200866699,0.0,4.363901631901307,0.0,6.446271122070217
42,nor + Fres,MMLU,#3498db,6.466032028198242,0.0,1.063273460235298,0.0,0.7850341600317382
43,AdapterManager + edelta,MMLU,#3498db,6.446770668029785,0.0,0.9230462620393135,0.0,-0.03764898775017457
44,addCriterion + alin,MMLU,#3498db,6.431661128997803,0.0,3.1827774600454624,0.0,0.31698897288268635
